Class,Season,Crop_type,Proxy,Sowing_period,Kharif_area_(m^2),Rabi_area_(m^2),Summer_area_(m^2),Total_min_(days),Total_max_(days),Initial_min_(days),Initial_max_(days),Dev_min_(days),Dev_max_(days),Mid_min_(days),Mid_max_(days),Late_min_(days),Late_max_(days),Kc_ini,Kc_mid,Kc_end
2,Kharif,Finger millet,Millet,Jun-Jul,12246,910.36,31.52,105,140,15,20,25,30,40,55,25,35,0.3,1,0.3
2,Kharif,Maize,Maize (grain),Jun-Jul,5928.74,610.66,203.21,125,180,20,30,35,50,40,60,30,50,0.3,1.2,0.475
3,Perennial,Grapes,Grapes (table/raisin),Jan,440.78,150.12,174.59,180,240,20,30,40,60,40,120,20,80,0.3,0.85,0.45
3,Perennial,Mulberry,Hops,Jan,1021.58,888.98,717.19,155,155,25,25,40,40,80,80,10,10,0.3,1.05,0.85
3,Perennial,Pomegranate,Deciduous Orchard,Jan,375.53,212.16,107.1,210,270,20,30,50,70,90,130,30,60,0.6,0.95,0.75
4,Rabi,Avarekalu,Beans (dry),Sep-Oct,483.15,458.23,1.8,95,110,15,20,25,30,35,40,20,20,0.4,1.15,0.35
4,Rabi,Horse gram,Lentils,Sep-Oct,204.73,729.18,0.24,150,170,20,25,30,35,60,70,40,40,0.4,1.1,0.3
5,Rabi,Onion,Onion (dry),Oct-Nov,143.06,882.06,262.12,150,210,15,20,25,35,70,110,40,45,0.7,1.05,0.75
5,Rabi,Potato,Potato,Sep-Oct,38.77,786.53,7.3,115,165,25,45,30,35,30,70,20,30,0.5,1.15,0.75
6,Summer,Tomato,Tomato,Jan,893.61,152.43,1605.55,135,180,30,35,40,45,40,70,25,30,0.7,1.15,0.8
