Well ID,Lat,Long,Well Depth (ft),Well Depth (m)
OBF07,13.473839,77.820531,300,91.44
OBF07,13.474379,77.820252,350,106.68
OBF15,13.463081,77.839642,600,182.88
OBF22,13.484611,77.858792,300,91.44
OBF23,13.467631,77.857397,750,228.6
OBF24,13.45125,77.857328,900,274.32
OBF26,13.566928,77.875847,700,213.36
OBF27,13.542417,77.873292,800,243.84
OBF27,13.56356,77.885397,300,91.44
OBF28,13.528967,77.879639,800,243.84
OBF29,13.50016,77.868073,1050,320.04
OBF30,13.487611,77.889442,740,225.552
OBF31,13.472028,77.873272,1100,335.28
OBF33,13.591281,77.898364,400,121.92
OBF34,13.577078,77.895192,1100,335.28
OBF35,13.554308,77.907208,650,198.12
OBF36,13.526422,77.891856,150,45.72
OBF37,13.502747,77.907911,1050,320.04
OBF38,13.481981,77.907928,965,294.132
OBF39,13.464586,77.908527,1200,365.76
OBF42,13.5647,77.922733,800,243.84
OBF43,13.553862,77.924481,1000,304.8
OBF44,13.52818,77.925,1200,365.76
OBF45,13.50548,77.92276,950,289.56
OBF46,13.476018,77.921418,650,198.12
OBF51,13.5605,77.9476,265,80.772
OBF52,13.520776,77.941066,1200,365.76
OBF54,13.489497,77.952958,310,94.488
OBF55,13.471872,77.936594,1060,323.088
OBF58,13.567758,77.976245,450,137.16
OBF59,13.56366,77.96912,850,259.08
OBF60,13.529011,77.978364,1200,365.76
OBF61,13.509756,77.960547,850,259.08
OBF62,13.490525,77.976514,1120,341.376
OBF63,13.467058,77.972528,1000,304.8
OBF64,13.4381,77.964858,1000,304.8
OBF66,13.567213,77.992411,1180,359.664
OBF68,13.529058,77.98001,1120,341.376
OBF69,13.499203,77.981733,400,121.92
OBF70,13.493314,77.985869,700,213.36
OBF72,13.444686,77.98785,1180,359.664
OBF74,13.571316,78.017672,1000,304.8
OBF75,13.549413,78.0129,700,213.36
OBF76,13.53118,78.003119,980,298.704
OBF77,13.513626,78.006263,550,167.64
OBF78,13.494263,78.013458,700,213.36
OBF78,13.489288,78.012578,800,243.84
OBF82,13.571105,78.03015,1000,304.8
OBF83,13.56165,78.0259,200,60.96
PT26,13.566317,77.879608,600,182.88
PT51,13.560256,77.948561,420,128.016
PT67,13.553861,77.985139,850,259.08
PT6,13.485,77.821111,400,121.92
PT31,13.472353,77.873939,1000,304.8
PT64,13.435056,77.96075,1000,304.8
